;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
q-input1-0;cx();;cx();;;;cx();u1(float);;cx();u1(float);cx();cx();;
q-input2-0;cx();u2(int,float);cx();u1(float);cx();u1(float);cx();u1(float);cx();u1(float);u2(int,float);;cx();;
q-output-0;u2(int,float);;;;cx();;;;cx();cx();u1(float);cx();u2(int,float);x();measure()
c-outputc-0;;;;;;;;;;;;;;;measure()
