;1;2;3;4;5
q-q-0;u3(ParameterExpression,ParameterExpression,ParameterExpression);rz(ParameterExpression);cx();u3(ParameterExpression,ParameterExpression,ParameterExpression);rz(ParameterExpression)
q-q-1;u3(ParameterExpression,ParameterExpression,ParameterExpression);rz(ParameterExpression);cx();u3(ParameterExpression,ParameterExpression,ParameterExpression);rz(ParameterExpression)
