;1;2;3
q-reg-0;reset();u2(int,float);measure()
q-reg-1;reset();u2(int,float);measure()
q-reg-2;reset();u2(int,float);measure()
q-reg-3;reset();u2(int,float);measure()
q-reg-4;reset();u2(int,float);measure()
q-reg-5;reset();u2(int,float);measure()
q-reg-6;reset();u2(int,float);measure()
q-reg-7;reset();u2(int,float);measure()
c-regc-0;;;measure()
c-regc-1;;;measure()
c-regc-2;;;measure()
c-regc-3;;;measure()
c-regc-4;;;measure()
c-regc-5;;;measure()
c-regc-6;;;measure()
c-regc-7;;;measure()
