;1;2;3;4
q-q-0;rz(float);u3(ParameterExpression,ParameterExpression,ParameterExpression);cx();u3(ParameterExpression,ParameterExpression,ParameterExpression)
q-q-1;u3(ParameterExpression,ParameterExpression,ParameterExpression);;cx();
