;1;2
q-q-0;ZZFeatureMap(ParameterVectorElement,ParameterVectorElement);RealAmplitudes(ParameterVectorElement,ParameterVectorElement,ParameterVectorElement,ParameterVectorElement)
q-q-1;ZZFeatureMap(ParameterVectorElement,ParameterVectorElement);RealAmplitudes(ParameterVectorElement,ParameterVectorElement,ParameterVectorElement,ParameterVectorElement)
