name,metric,value
ae,LMC,3
qaoa,LMC,0
fae,LMC,3
hhl,LMC,2
adapt_vqe,LMC,2
grover,LMC,2
phase_estimation,LMC,2
iae,LMC,3
ipe,LMC,2
qgan,LMC,2
shor,LMC,2
qeom,LMC,3
mlae,LMC,3
vqe,PAR,9
qsvc,PAR,1
vqd,PAR,11
vqc,PAR,9
ae,PAR,4
qaoa,PAR,11
fae,PAR,4
hhl,PAR,5
adapt_vqe,PAR,6
grover,PAR,4
phase_estimation,PAR,4
iae,PAR,5
ipe,PAR,5
qgan,PAR,11
shor,PAR,7
qeom,PAR,4
mlae,PAR,4
